Source,Target,Type,Weight
0,1,Undirected,1
0,2,Undirected,1
0,3,Undirected,1
0,22,Undirected,1
0,61,Undirected,1
0,91,Undirected,1
0,92,Undirected,1
0,96,Undirected,1
0,111,Undirected,1
5,4,Undirected,1
6,4,Undirected,1
8,7,Undirected,1
9,7,Undirected,1
11,10,Undirected,1
12,10,Undirected,1
15,13,Undirected,1
16,12,Undirected,1
16,14,Undirected,1
17,0,Undirected,1
18,0,Undirected,1
19,0,Undirected,1
21,20,Undirected,1
23,0,Undirected,1
24,25,Undirected,1
26,24,Undirected,1
27,26,Undirected,1
28,0,Undirected,1
29,30,Undirected,1
29,31,Undirected,1
32,33,Undirected,1
32,34,Undirected,1
35,3020,Undirected,1
36,35,Undirected,1
37,35,Undirected,1
38,0,Undirected,1
39,35,Undirected,1
39,40,Undirected,1
39,41,Undirected,1
43,42,Undirected,1
44,0,Undirected,1
45,0,Undirected,1
46,47,Undirected,1
48,47,Undirected,1
49,0,Undirected,1
50,0,Undirected,1
51,0,Undirected,1
52,0,Undirected,1
53,54,Undirected,1
54,55,Undirected,1
55,86,Undirected,1
56,0,Undirected,1
58,57,Undirected,1
58,59,Undirected,1
60,0,Undirected,1
62,63,Undirected,1
64,66,Undirected,1
65,64,Undirected,1
67,66,Undirected,1
67,80,Undirected,1
68,0,Undirected,1
69,0,Undirected,1
71,72,Undirected,1
72,73,Undirected,1
74,0,Undirected,1
76,75,Undirected,1
77,84,Undirected,1
78,0,Undirected,1
79,80,Undirected,1
80,81,Undirected,1
82,83,Undirected,1
86,85,Undirected,1
87,0,Undirected,1
88,89,Undirected,1
89,90,Undirected,1
93,94,Undirected,1
94,95,Undirected,1
97,98,Undirected,1
98,99,Undirected,1
100,101,Undirected,1
101,43,Undirected,1
103,102,Undirected,1
104,103,Undirected,1
105,0,Undirected,1
106,0,Undirected,1
107,0,Undirected,1
108,109,Undirected,1
110,109,Undirected,1
112,0,Undirected,1
113,0,Undirected,1
114,0,Undirected,1
116,15,Undirected,1
116,115,Undirected,1
118,110,Undirected,1
118,117,Undirected,1
119,0,Undirected,1
120,121,Undirected,1
120,122,Undirected,1
120,570,Undirected,1
123,124,Undirected,1
123,3074,Undirected,1
124,125,Undirected,1
124,126,Undirected,1
127,128,Undirected,1
127,129,Undirected,1
127,3055,Undirected,1
129,130,Undirected,1
130,131,Undirected,1
132,134,Undirected,1
132,2931,Undirected,1
134,133,Undirected,1
135,136,Undirected,1
136,137,Undirected,1
138,0,Undirected,1
139,0,Undirected,1
140,141,Undirected,1
142,0,Undirected,1
143,3029,Undirected,1
144,3073,Undirected,1
145,0,Undirected,1
146,54,Undirected,1
147,148,Undirected,1
147,150,Undirected,1
147,151,Undirected,1
147,152,Undirected,1
147,153,Undirected,1
148,149,Undirected,1
154,3076,Undirected,1
155,154,Undirected,1
155,156,Undirected,1
155,157,Undirected,1
158,159,Undirected,1
160,0,Undirected,1
161,0,Undirected,1
163,162,Undirected,1
164,0,Undirected,1
165,141,Undirected,1
165,166,Undirected,1
167,2931,Undirected,1
168,0,Undirected,1
169,0,Undirected,1
170,0,Undirected,1
171,0,Undirected,1
172,0,Undirected,1
173,0,Undirected,1
174,0,Undirected,1
175,0,Undirected,1
176,177,Undirected,1
178,0,Undirected,1
180,179,Undirected,1
180,231,Undirected,1
181,0,Undirected,1
182,0,Undirected,1
183,185,Undirected,1
184,185,Undirected,1
184,208,Undirected,1
186,0,Undirected,1
188,187,Undirected,1
189,188,Undirected,1
190,0,Undirected,1
191,192,Undirected,1
193,194,Undirected,1
193,195,Undirected,1
195,196,Undirected,1
195,197,Undirected,1
198,0,Undirected,1
199,200,Undirected,1
201,0,Undirected,1
202,203,Undirected,1
204,203,Undirected,1
205,0,Undirected,1
206,0,Undirected,1
207,208,Undirected,1
208,209,Undirected,1
210,0,Undirected,1
211,0,Undirected,1
212,0,Undirected,1
213,0,Undirected,1
